t,S,I,R,D
0,8756000,44000,0,0
1,8713332,80297,19775,0
2,8781989,35951,0,6085
3,8734288,28868,27447,9398
4,8717496,87096,57830,0
5,8638789,117518,36946,6748
6,8675218,94016,16823,13943
7,8611667,174243,24184,0
8,8579980,166181,68608,0
9,8590805,163268,46934,0
10,8596993,178692,0,51419
11,8528391,197968,70992,2649
12,8410532,274313,108305,6850
13,8438439,285813,73959,1789
14,8453516,270375,121478,0
15,8293652,370873,136693,0
16,8112472,472925,146946,67656
17,8153802,469202,191042,0
18,8174991,557872,129504,0
19,7903652,660340,248922,0
20,7763452,748137,299040,0
21,7475645,855684,378367,90303
22,7533562,993006,320602,0
23,7326119,1105806,342572,25503
24,7163124,1211308,394949,30619
25,6872419,1362590,505939,59051
26,6745099,1461319,568092,25490
27,6438784,1626898,666803,67514
28,6319387,1779995,701828,0
29,6091710,1915774,805324,0
30,5661628,2156817,974239,7316
31,5467639,2237629,1047345,47386
32,5098792,2464491,1226955,9762
33,4937316,2620342,1231577,10765
34,4504859,2775465,1441285,78392
35,4166904,2912489,1632555,88052
36,4034078,3009311,1735860,20751
37,3733735,3147217,1855858,63190
38,3409814,3313801,2061552,14833
39,3201162,3390317,2190522,17999
40,2962512,3401233,2406283,29971
41,2815737,3464254,2487506,32504
42,2501771,3444761,2737988,115481
43,2387469,3474752,2830486,107294
44,2131324,3485650,3097572,85455
45,1879536,3558557,3242692,119215
46,1965066,3446154,3333790,54991
47,1749366,3422782,3594356,33496
48,1611488,3417715,3741175,29622
49,1478964,3324460,3948740,47836
50,1305081,3276677,4170431,47811
51,1332978,3146039,4286235,34748
52,1101619,3170391,4426495,101494
53,1137998,3048630,4529081,84291
54,993626,2964107,4738708,103559
55,976838,2872500,4899860,50802
56,944629,2773231,4959971,122169
57,874219,2694895,5161854,69032
58,777498,2654307,5274865,93331
59,697713,2568192,5394908,139186
60,661479,2451618,5568233,118671
61,684246,2380810,5643451,91493
62,619694,2297780,5760754,121772
63,626167,2211635,5834074,128125
64,478029,2141177,5959274,221520
65,466027,2065244,6141864,126864
66,618739,1923947,6149800,107514
67,428266,1937234,6279529,154971
68,412608,1794670,6434507,158215
69,539826,1706186,6446758,107230
70,344875,1678250,6611433,165442
71,433236,1556401,6684098,126265
72,398630,1566943,6656361,178066
73,395095,1502535,6783810,118561
74,336442,1478791,6859809,124957
75,405522,1301846,6897329,195302
76,364429,1309675,6966088,159808
77,333265,1253097,7042740,170898
78,400010,1163634,7075184,161172
79,436152,1088364,7167475,108010
80,289616,1106298,7262514,141572
81,286702,1026183,7329815,157301
82,311757,1040326,7293069,154848
83,349570,963949,7369144,117337
84,244463,907098,7516338,132101
85,182527,954080,7485034,178359
86,220362,891100,7538966,149572
87,363433,788752,7533397,114419
88,281381,731158,7656957,130504
89,312498,714828,7634505,138170
90,320955,689864,7647282,141898
91,268143,697381,7706719,127757
92,107801,654462,7797421,240316
93,269014,617752,7760772,152461
94,216019,621966,7822969,139047
95,190775,529110,7873396,206718
96,307304,519668,7837155,135872
97,255367,485751,7880378,178504
98,304028,460314,7932788,102870
99,218524,467743,7919708,194024
100,255467,467236,7919842,157455
101,202598,393819,8051139,152444
102,349866,338314,8024082,87738
103,217958,369154,8100345,112543
104,326459,383975,7947728,141839
105,130569,386511,8048602,234318
106,193745,348199,8076888,181168
107,240352,368641,8038463,152543
108,186087,292879,8140976,180058
109,315906,264726,8090394,128974
110,322470,255559,8126779,95193
111,334252,234112,8081779,149858
112,214938,273211,8115010,196840
113,266471,227096,8141783,164651
114,266971,240892,8169312,122825
115,148978,234092,8222444,194486
116,184734,215855,8189685,209727
117,219854,243952,8201274,134920
118,279384,158882,8110944,250789
119,198505,163133,8246420,191942
120,258933,179521,8209547,152000
121,136921,206135,8270959,185986
122,174651,223265,8249832,152252
123,237361,118376,8290203,154059
124,320230,155401,8201568,122801
125,153797,171229,8345179,129795
126,336578,120182,8192234,151006
127,214093,170872,8261831,153204
128,183580,98524,8362240,155656
129,234036,142669,8242753,180542
130,190469,147619,8340945,120966
131,19213,189482,8402696,188610
132,166608,80973,8396738,155681
133,185480,95624,8359103,159793
134,171374,37106,8451462,140057
135,168707,78853,8337636,214804
136,150712,88220,8406821,154247
137,254983,65516,8339898,139604
138,155438,42607,8381806,220149
139,208112,108953,8258556,224379
140,146160,73446,8427813,152581
141,177694,64833,8387679,169794
142,245350,92980,8397510,64159
143,309666,89862,8311752,88720
144,200586,10016,8388694,200704
145,246071,73366,8323366,157197
146,125428,87749,8397647,189176
147,301585,0,8326022,177486
148,255518,95480,8349466,99537
149,282599,15291,8367428,134682
150,153497,0,8447838,208811
